Translation Key,Translated Value
monolith_nbc_outfit_name,Комбинезон РХБЗ «Чернобыль»
st_af_gold_fish_name,«Золотая рыбка»
st_detector1,Детектор «Отклик»
ammo-50-bmg,Патроны .50 BMG
st_prt_o_retardant_4,Обработанные нПВХ виниловые ткани «Класса А»
st_wpn_l85_modern,Модернизированная L85A1
dolg_scout_outfit_name,ПС5-Р «Разведчик»
st_water_drink,Газированная вода
freedom,«Свобода»
csky_heavy_outfit_name,Бронежилет ЧН-3б
st_data_export_single_handed,В одной руке
st_wpn_aek973,AEK-973
st_wpn_m16a2,M16A2
st_wpn_g43,Karabiner 43
st_af_plates_name,Стальные пластины
st_wpn_pp2000,ПП-2000
st_wpn_akms_alt,АКМС (Альтернативный)
st_barrel_6,Ствол-глушитель [АС | ПП] 9мм
ui_inv_radiation,Радиация
st_gas_tube_8,Отсечка-отражатель [В]
st_prt_w_p_barrel_1,Ствол 9x18 мм
st_helm_bandana,Бандана
ui_inv_effect_time,Время действия
ammo-9x19-pbp,Патроны 9x19 мм Дум-дум
st_upgr_o_armor,Укреплённые баллистические вставки
st_wpn_desert_eagle,Desert Eagle
st_underwear,Нижнее бельё
st_wpn_svd_nimble,СВД «Рысь»
st_wpn_aug,Steyr AUG A1
st_wpn_ash12,АШ-12
st_bolt_carrier_8,Колодка от бокфлинта [Р]
merc_combat_scientific_outfit_name,Комбинезон наёмников «Исследователь»
cs_exo_outfit_name,Экзоскелет ЧН-5
st_helm_tactic,Шлем «Сфера 08»
st_data_export_disassemble_item,Предмет
military_outfit_name,Бронекостюм «СКАТ-9»
st_recipe_drug_3,Рецепты лекарства #3
merc_scout_outfit_name,Лёгкий комбинезон «Скаут»
st_wpn_m4a1_camo,Камуфлированная M4A1
st_wpn_desert_eagle_custom,Заказной Desert Eagle
st_prt_o_retardant_19,Полиэстер-ткани с изоляцией из стекловолокна
monolith_scientific_light_outfit_name,Кустарный комбинезон «Монолита»
st_breadold,Старый хлеб
st_wpn_ak74u_snag,АКС-74У Коряги
st_wpn_aps,АПС
st_data_export_weapon_kind_rifle,Винтовка
st_itm_ammokit,Оружейные инструменты
st_bolt_17,Ударник с боевой пружиной [ПП][ППШ]
army,Военные
mutant_chimera_meat,Кусок мяса химеры
st_barrel_12,Ствол [ПП] 7.62мм
isg_merc_outfit_name,Тактический бронежилет ИИГ Mk.2
st_wpn_vihr,СР-3М «Вихрь»
st_prt_o_retardant_17,Изоляционные вставки из константана
st_rank_master,мастер
st_wpn_aks74_new,Новый АКС-74
st_data_export_thirst,Жажда
st_prt_i_transistors,Коробка транзисторов
st_antibio_sulfad,Сульфадиметоксин
st_upgr_o_run,Гидравлическая система усиления сервопривода
st_cigarettes_lucky,Сигареты «Lucky Strike»
redline_novice_outfit_name,Красная кожаная куртка
st_af_lobster_eyes_name,«Рачьи глаза»
st_antibio_chlor,Хлортетрациклин
st_prt_o_ballistic_8,Пластины из кевлара «К119» с вставками из углеродного волокна
light_voen_outfit_name,Армейский бронежилет IBA-З
dolg_outfit_name,ПС5-М «Универсальная защита»
stalker_graphite_outfit_name,Комбинезон «Графит»
st_prt_w_p_spring_5,Возвратная пружина 7.62мм
st_af_glass_name,«Светляк»
st_wpn_ak74m,АК-74М
st_wpn_ak103_camo,Камуфлированный АК-103
st_itm_drugkit,Набор для создания медикаментов
st_wpn_fn2000,FN F2000
stalker,Одиночки
st_rank_experienced,опытный
st_equ_smilpack_name,Большой походный рюкзак
st_wpn_oc33,ОЦ-33 «Пернач»
svoboda_exolight_outfit_name,Тяжёлый бронекостюм «Воин свободы»
st_af_black_spray_name,«Чёрные брызги»
light_dolg_outfit_name,Бронежилет IBA-З «Долга»
st_prt_o_retardant_5,Ткань с ПВХ/резиновым покрытием
ui_inv_outfit_telepatic_protection,Пси-защита
st_detector8,Прибор для измерения аномальной активности
st_data_export_weapon_degradation,Износ оружия
st_wpn_svd_custom,Модифицированная СВД
st_data_fragment_damage,Осколочный урон
st_wpn_pkp,ПКП «Печенег»
st_upgr_o_arty,Крепления для дополнительных модулей
dolg_heavy_proto_exo_outfit_name,ПСЗ-9д «Броня "Долга"» с протоэкзоскелетом
st_cigarettes,Сигареты «Marlboro»
st_morphine,Ампула морфина
st_af_surge_name,Токоограничитель
st_letter_military_stalker_name,Записка военного сталкера
stalker_outfit_name,Комбинезон «Заря»
st_wpn_aks74,АКС-74
monolith_exo_outfit_name,Экзоскелет «Монолита»
monolith_trenchcoat_outfit_name,Плащ «Монолита»
st_antiemetic,Этаперазин
st_wpn_glock_modern,Glock 19 (Альтернативный)
st_porn,Журнал «Русский PLAYBOY»
ui_st_community,Группа
st_itm_basickit_name,Инструменты для грубой работы
ammo-12.7x55-fmj,Патроны 12,7x55 мм СЦ-130
st_bolt_3,Поворотная личинка [2 упора][К]
st_glue_e,Тюбик клея «М17»
st_hide_boar_name,Шкура кабана
st_data_export_restore_radiation,Восстановление от радиации
st_recipe_drug_1,Рецепты лекарства #1
mutant_dog_meat,Мясо слепого пса
cs_scientific_outfit_name,Научный комбинезон ЧН-4а
st_ration_ukr,Украинский рацион питания
st_itm_mapkit_7,Карта аномалий (Затон)
st_picture_woman,Фотография любимой женщины
ammo-11.43x23-fmj,Патроны .45 ACP
st_wpn_fort500,Форт-500
exo_merc_wood_outfit_name,ТБ-1 наёмников «Лес»
st_wpn_cz52,CZ 52
st_beer,Украинское пиво (500 мл.)
st_ecologist_outfit_white_name,ССП-99 «Алмаз»
st_wpn_m60,M60
st_wpn_fnp45,FNP-45
st_wpn_groza,ОЦ-14-4A
st_af_ear_name,«Сердце»
stalker_predator_outfit_name,Комбинезон «Охотник»
st_barrel_3,Ствол [К] 18.5мм
st_gas_tube_7,Газовая трубка [П]
ui_inv_outfit_radiation_protection,Радиозащита
isg_proto_exo_outfit_name,Комбинезон ИИГ с протоэкзоскелетом
trenchcoat_freedom_brown_outfit_name,Плотный плащ «Свободы»
st_rank_expert,эксперт
st_rank_rg6,отряд RG6
st_cutlery,Полевые столовые приборы
st_data_export_restore_health_max,Полное восстановление здоровья
nbc_merc_outfit_name,Комбинезон РХБЗ Наёмников
ammo-m209,Граната М209
monolith,«Монолит»
st_wpn_tt33_modern,Модернизированный TT-33
st_equ_smallpack_name,Походный рюкзак
st_wpn_fn2000_custom,Модифицированный FN F2000
st_prt_o_retardant_10,Полимерные листы (покрытие из сульфата бария)
st_mre,Сухой паёк
ammo-12x76-zhekan,Патроны 12x76 мм Жекан
st_hide_lurker_name,Шкура кикиморы
st_prt_w_p_barrel_2,Ствол 9x19 мм
st_wpn_usas12,USAS-12
ecolog_proto_exo_outfit_name,Комбинезон научной охраны с протоэкзоскелетом
cs_nbc_outfit_name,Комбинезон ЧН-3 «РХБЗ»
st_trigger_components_5,Двухрежимный УСМ ударникового типа
st_ecologist_outfit_blue_name,ССП-99М «Сапфир»
st_cigar1,Советские сигареты
bandit_novice_outfit_name,Чёрная кожаная куртка
st_wpn_ak101,АК-101
ammo-5.7x28-ss195,Патроны 5.7x28 мм ЭП
st_data_export_disassemble_result,Результат
st_wpn_hpsa_alt,Browning Hi-Power (Альтернативный)
st_upgr_w_recoil,Дополнительные газовые поршни
st_af_night_star_name,«Ночная звезда»
st_recipe_advanced_2,Руководство по механике (ч. 2)
st_stim_impro,Самопальный стимпак
ammo-5.45x39-ep,Патроны 5,45x39 мм ПП
st_pda_name,КПК
st_wpn_fnc,FN FNC
st_wpn_ak,Автомат Калашникова
st_data_export_stash_ecos,Экономика
st_af_fire_loop_name,«Петля»
st_af_kogot_name,«Коготь»
st_prt_o_ballistic_9,Пластины из полиэтилена «Б-типа» с бронежилетом
st_af_vyvert_name,«Выверт»
st_af_sponge_name,«Губка»
st_itm_tent_name,Сумка для палатки
helm_m50,Противогаз M50з
mutant_lurker_meat,Мясо кикиморы
st_af_kevlar_name,Кевларовые пластины и крепления
st_upgr_o_rad,Активные фильтры и радиозащитные материалы
st_cigarettes_russian,Сигареты «Пётр I»
st_nuts,Ореховая смесь
st_wpn_sks,СКС-45
st_af_freon_name,Фреоновый охладитель
st_prt_w_p_spring_6,Возвратная пружина «R1 DE 6"»
st_wpn_mp153,MP-153
wastelander_outfit_name,Защитный комбинезон «Поисковик»
st_tetanus,Вакцина от столбняка
st_prt_o_retardant_6,Ткани из ПВХ / углеродного волокна
st_data_export_weapon_kind_explosive,Взрывное
freedom_exo_vineleaf_outfit_name,Тяжёлый бронекостюм «Дух свободы»
greh,«Грех»
st_wpn_saiga12s,Сайга-12С
ammo-gauss,Аккумуляторы
st_bread,Свежий хлеб
st_wpn_colt1911_new,Новый Colt M1911
merc_exo_outfit_name,Экзоскелет наёмников
st_wpn_vityaz,ПП-19-01 «Витязь»
st_af_generator_name,«Генератор»
st_recipe_expert_2,Техническое руководство (ч. 2)
bandit_ps5_outfit_name,Бандитский ПС5-М
st_wpn_abakan,АН-94
st_raisins,Изюм
st_af_gravi_name,«Грави»
ammo-7.92x33_fmj,Патроны 7,92x57 мм Mauser
st_af_moh_name,«Мох»
st_memoirs_1_of_2_name,Дневник сталкера (часть 1 из 2)
st_wpn_ace21,Galil ACE-21
dolg_nosorog_outfit_name,ПСЗ-10Д «Носорог»
st_wpn_sig220_custom,Заказной SIG P220
dolg_red_outfit_name,ПС5-М «Витязь»
st_bolt_carrier_11,Продольно-скользящий свободный затвор [ПП]
st_prt_w_p_barrel_7,Ствол .357
st_prt_i_textolite,Текстолитовая основа
st_radio2,Сломанное радио
st_data_export_weapon_kind_pistol,Пистолет
st_meat_snork,Жареная рука снорка
st_af_serofim_name,«Серафим»
st_itm_mapkit_2,Карта аномалий (Янтарь)
st_meat_dog,Собачьи отбивные
st_prt_i_copper,Моток медной проволоки
st_wpn_sv98,СВ-98
st_exolight_repair_kit,Профессиональный набор для ремонта тяжёлых бронекостюмов
ammo-5.45x39-ap,Патроны 5,45x39 мм БП
exo_dolg_red_outfit_name,ПСЗ-10Дм «Звероборец»
st_metalcan_powder,Баллончик с порошком
st_trigger_components_6,УСМ куркового типа [Р]
svoboda_heavy_outfit_2_name,Комбинезон «Страж свободы» М2
novice_outfit_tourist_name,Куртка туриста
stalker_salamander_outfit_name,Комбинезон «Ящер»
st_prt_o_fabrics_3,Прочный текстиль
exo_wood_outfit_name,ТБ-1 «Лес»
st_recipe_expert_4,Техническое руководство (ч. 4)
st_upgr_w_dispersion,Компоненты балансировки
st_wpn_bm16,Обрез ТОЗ-66
st_rank_trainee,начинающий
svoboda_exo_outfit_name,Экзоскелет «Бастион свободы»
st_helm_metro,Шлем-противогаз ПД
st_gas_tube_6,Газовая трубка [А|В][НАТО]
st_wpn_mp5_alt,MP5A3 (Альтернативный)
st_prt_i_capacitors,Коробка конденсаторов
st_monolithian_thoughts_name,Дневник монолитовца
ammo-7.62x54_7n14,Патроны 7,62x54 мм 7Н14
st_upgr_w_grenade_mount,Крепления подствольных гранатомётов
st_wpn_galil,Galil AR
st_af_baloon_name,«Пузырь»
st_wpn_toz34_obrez_decor,Украшенный обрез ТОЗ-34
st_data_export_restore_bleeding_max,Полное заживление ран
isg_exo_outfit_name,Экзоскелет ИИГ
st_protein,Протеиновый батончик
st_radio,Переносное радио
st_af_oasis_heart_name,«Сердце Оазиса»
st_wpn_m16,M16A4
st_synthrope,Два синтетических каната
monolith_exolight_outfit_name,Тяжёлый бронекостюм «Монолита»
st_wpn_toz34_decor,Украшенный ТОЗ-34
ui_inv_rate_of_fire,Темп огня
st_drug_radioprotector,Радиопротектор
st_itm_mapkit_3,Карта аномалий (Рыжий лес)
st_af_dummy_dummy_name,«Панцирь»
st_af_grapes_name,«Виноград»
st_af_surge_up_name,Токоограничительный микрореактор
st_recipe_advanced_1,Руководство по механике (ч. 1)
st_bolt_carrier_2,Продольно-скользящий затвор с запиранием поворотом [Россия]
st_wpn_aek971,AEK-971
